My Orders,Your Orders
My Tags,Your Tags
My Wishlist,Your Wish List
Add to Wishlist,Add to Wish List
Share Wishlist,Share Wish List
Update Wishlist,Update Wish List
My Product Reviews,Your Product Reviews
My Downloadable Products,Your Collection
My Dashboard,Your Dashboard
"Go to <a href=""%s"">My Downloadable Products</a>","Go to <a href=""%s"">Your Downloadable Products</a>"
My Applications,Your Applications
As low as,Starting at
My Recent Reviews,Your Recent Reviews
My Product Reviews,Your Product Reviews
Purchase Order Number,UNL Cost Object
Purchase Order Number:,UNL Cost Object:
From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.,From your Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.
Delivery Date,Ship Date
Delivery Notice,Shipping/Order Notes
Specified delivery date is invalid.,Specified ship date is invalid.
Previous Step,Back
Orders and Returns,Check Order Status
Returns,Check Order Status
Out of stock,Sold Out